Date,PM2.5,PM10,CO,station
2013-03-01,6.416666666666667,9.875,388.8153257816544,Dongsi
2013-03-02,30.5,40.583333333333336,966.5833333333334,Dongsi
2013-03-03,98.33333333333333,131.58333333333334,2132.875,Dongsi
2013-03-04,24.291666666666668,40.875,952.7004276769525,Dongsi
2013-03-05,154.25,183.16666666666666,2391.6452271728526,Dongsi
2013-03-06,206.83333333333334,231.91666666666666,2991.3333333333335,Dongsi
2013-03-07,274.4166666666667,306.625,4249.666666666667,Dongsi
2013-03-08,189.33333333333334,232.45833333333334,3263.6627486780158,Dongsi
2013-03-09,58.916666666666664,218.37082281207293,1295.8187810718455,Dongsi
2013-03-10,36.333333333333336,66.45833333333333,914.7725139919735,Dongsi
2013-03-11,111.625,149.79166666666666,1305.1908669370985,Dongsi
2013-03-12,126.75,125.83333333333333,1408.0833333333333,Dongsi
2013-03-13,18.458333333333332,23.875,687.9683055766301,Dongsi
2013-03-14,97.5,105.33333333333333,1437.2916666666667,Dongsi
2013-03-15,219.95833333333334,229.5,2299.4166666666665,Dongsi
2013-03-16,243.58333333333334,235.33333333333334,2349.7083333333335,Dongsi
2013-03-17,289.25,289.2083333333333,3664.8339021846077,Dongsi
2013-03-18,69.625,101.04166666666667,10905.367630374583,Dongsi
2013-03-19,38.833333333333336,47.583333333333336,14670.845150693569,Dongsi
2013-03-20,51.208333333333336,57.875,4746.932075743257,Dongsi
2013-03-21,144.45833333333334,145.91666666666666,1328.0200311653512,Dongsi
2013-03-22,83.33333333333333,124.54166666666667,862.5,Dongsi
2013-03-23,53.25,84.04166666666667,983.25,Dongsi
2013-03-24,18.0,28.583333333333332,259.21483395362594,Dongsi
2013-03-25,100.375,120.70833333333333,1222.6192735749764,Dongsi
2013-03-26,151.70384448097062,164.21961248700802,1578.1615640662042,Dongsi
2013-03-27,85.70833333333333,97.45833333333333,911.0511758161689,Dongsi
2013-03-28,28.583333333333332,53.916666666666664,525.0,Dongsi
2013-03-29,90.5,134.20833333333334,1539.7826713256534,Dongsi
2013-03-30,79.625,105.83333333333333,1616.4166666666667,Dongsi
2013-03-31,178.875,193.25,1437.2916666666667,Dongsi
2013-04-01,95.29166666666667,118.79166666666667,1383.2083333333333,Dongsi
2013-04-02,104.5,134.16666666666666,1329.0454981036312,Dongsi
2013-04-03,125.625,194.41666666666666,1461.8402876857272,Dongsi
2013-04-04,70.91666666666667,107.20833333333333,2216.4971127053327,Dongsi
2013-04-05,59.541666666666664,57.541666666666664,1241.620767715977,Dongsi
2013-04-06,11.333333333333334,20.25,368.3586427504077,Dongsi
2013-04-07,79.875,115.95833333333333,1233.2083333333333,Dongsi
2013-04-08,23.416666666666668,120.125,362.5,Dongsi
2013-04-09,11.916666666666666,27.0,341.6666666666667,Dongsi
2013-04-10,14.75,24.583333333333332,397.7954391049957,Dongsi
2013-04-11,20.333333333333332,39.833333333333336,696.916492277982,Dongsi
2013-04-12,52.916666666666664,97.625,882.2357707920182,Dongsi
